组织部位,处理描述,样本名称,Group
肿瘤组织,-80度,C01,CRC
肿瘤组织,-80度,D01,CRC
肿瘤组织,-80度,E01,CRC
肿瘤组织,-80度,F01,CRC
肿瘤组织,-80度,G01,CRC
肿瘤组织,-80度,H01,CRC
肿瘤组织,-80度,K01,CRC
肿瘤组织,-80度,L01,CRC
肿瘤组织,-80度,P01,CRC
肿瘤组织,-80度,S01,CRC
肿瘤组织,-80度,T01,CRC
肿瘤组织,-80度,U01,CRC
肿瘤组织,-80度,AB01,CRC
肿瘤组织,-80度,AC01,CRC
肿瘤组织,-80度,AD01,CRC
肿瘤组织,-80度,AG01,CRC
肿瘤组织,-80度,AH01,CRC
肿瘤组织,-80度,AK01,CRC
肿瘤组织,-80度,AL01,CRC
肿瘤组织,-80度,AP01,CRC
肿瘤组织,-80度,AR01,CRC
肿瘤组织,-80度,AS01,CRC
肿瘤组织,-80度,AT01,CRC
肿瘤组织,-80度,AU01,CRC
肿瘤组织,-80度,AX01,CRC
肿瘤组织,-80度,BD01,CRC
肿瘤组织,-80度,BE01,CRC
肿瘤组织,-80度,BG01,CRC
肿瘤组织,-80度,BK01,CRC
肿瘤组织,-80度,BL01,CRC
肿瘤组织,-80度,BL01_1,CRC
肿瘤组织,-80度,BN01,CRC
肿瘤组织,-80度,BP01,CRC
肿瘤组织,-80度,BR01,CRC
肿瘤组织,-80度,BS01,CRC
肿瘤组织,-80度,BT01,CRC
癌旁组织（距瘤5cm以上）,-80度,C01_1,NC
癌旁组织（距瘤5cm以上）,-80度,D01_1,NC
癌旁组织（距瘤5cm以上）,-80度,E01_1,NC
癌旁组织（距瘤5cm以上）,-80度,F01_1,NC
癌旁组织（距瘤5cm以上）,-80度,G01_1,NC
癌旁组织（距瘤5cm以上）,-80度,H01_1,NC
癌旁组织（距瘤5cm以上）,-80度,K01_1,NC
癌旁组织（距瘤5cm以上）,-80度,L01_1,NC
癌旁组织（距瘤5cm以上）,-80度,P01_1,NC
癌旁组织（距瘤5cm以上）,-80度,S01_1,NC
癌旁组织（距瘤5cm以上）,-80度,T01_1,NC
癌旁组织（距瘤5cm以上）,-80度,U01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AB01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AC01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AD01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AG01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AH01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AK01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AL01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AP01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AR01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AS01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AT01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AU01_1,NC
癌旁组织（距瘤5cm以上）,-80度,AX01_1,NC
癌旁组织（距瘤5cm以上）,-80度,BD01_1,NC
癌旁组织（距瘤5cm以上）,-80度,BE01_1,NC
癌旁组织（距瘤5cm以上）,-80度,BG01_1,NC
癌旁组织（距瘤5cm以上）,-80度,BK01_1,NC
癌旁组织（距瘤5cm以上）,-80度,BN01_1,NC
癌旁组织（距瘤5cm以上）,-80度,BP01_1,NC
癌旁组织（距瘤5cm以上）,-80度,BR01_1,NC
癌旁组织（距瘤5cm以上）,-80度,BS01_1,NC
癌旁组织（距瘤5cm以上）,-80度,BT01_1,NC
